Unnamed: 0.1,Unnamed: 0,statusId,sensorName,valueX,valueY,valueZ,timestamp
1249,1249,428,Gyroscope,-0.2285172687069918,0.4383679196906628,0.4838485971581324,1567455183241
1251,1251,428,Gyroscope,-0.28392418739493097,0.5161298192824297,0.5014954908750782,1567455183244
1253,1253,428,Gyroscope,-0.334240541972854,0.5773353556938732,0.5127711698500816,1567455183246
1255,1255,428,Gyroscope,-0.3816076750314921,0.6270795277271372,0.5145927175267213,1567455183247
1257,1257,428,Gyroscope,-0.42828005119124135,0.6796551653056241,0.510474940576049,1567455183249
1259,1259,428,Gyroscope,-0.4689749230677043,0.7360866849919042,0.507559403923125,1567455183251
1261,1261,428,Gyroscope,-0.49781242571972995,0.7866702552426308,0.5086292777659123,1567455183253
1263,1263,428,Gyroscope,-0.5164310357997739,0.8266248212773439,0.5113915146040069,1567455183256
1265,1265,428,Gyroscope,-0.5292460525186005,0.8588583670597498,0.5155061551959232,1567455183258
1267,1267,428,Gyroscope,-0.5364812981907094,0.8860707999040777,0.5235619717025384,1567455183260
1269,1269,428,Gyroscope,-0.5353334634362327,0.9062587803916318,0.5353787156858973,1567455183261
1271,1271,428,Gyroscope,-0.5243289546392788,0.9159558631954003,0.5479233071537788,1567455183263
1273,1273,428,Gyroscope,-0.5051930380165581,0.915466848742348,0.5600500632142635,1567455183265
1275,1275,428,Gyroscope,-0.48031144530355063,0.9072247988486495,0.5723823227491625,1567455183267
1277,1277,428,Gyroscope,-0.448683629266174,0.8898222035517452,0.5839584506875626,1567455183270
1279,1279,428,Gyroscope,-0.4084952731507095,0.8603768252621973,0.592527479841995,1567455183272
1281,1281,428,Gyroscope,-0.363344965240142,0.8229572701994308,0.5974229268460987,1567455183273
1283,1283,428,Gyroscope,-0.31929225227652214,0.7853699389340529,0.6000269490019534,1567455183275
1285,1285,428,Gyroscope,-0.27644701749096356,0.7452394806409877,0.6008174407575071,1567455183277
1286,1286,428,Gyroscope,-0.23094792226475508,0.6904213180175474,0.5974799461365387,1567455183279
1288,1288,428,Gyroscope,-0.18438153969677148,0.6179672992450185,0.5879689863513458,1567455183282
1291,1291,428,Gyroscope,-0.14275774406975986,0.5390284950904203,0.5732556196011915,1567455183284
1293,1293,428,Gyroscope,-0.10658930666709315,0.45980414401154857,0.554163837472431,1567455183285
1295,1295,428,Gyroscope,-0.07202137510782819,0.37598492958739504,0.529941230652826,1567455183287
1296,1296,428,Gyroscope,-0.041329818843774666,0.290568114698521,0.5030566834489235,1567455183289
1299,1299,428,Gyroscope,-0.020652939205675458,0.21583219310704502,0.4773391470643451,1567455183291
1301,1301,428,Gyroscope,-0.007537608899770546,0.15377061089720268,0.44766904962672766,1567455183294
1303,1303,428,Gyroscope,0.00798060146537897,0.09385545834899409,0.4028822968151723,1567455183296
1305,1305,428,Gyroscope,0.03017067105422456,0.033548932040455406,0.3414905172881312,1567455183297
1307,1307,428,Gyroscope,0.055881469725155446,-0.015036308475462317,0.26813201000964804,1567455183299
1309,1309,428,Gyroscope,0.08627914077181198,-0.04404002774636955,0.17554079158105224,1567455183301
1311,1311,428,Gyroscope,0.13094239638490715,-0.06234193455840058,0.05435339862475201,1567455183303
1312,1312,428,Gyroscope,0.19730886386867597,-0.08261633103547564,-0.08262365747014348,1567455183305
1314,1314,428,Gyroscope,0.2795042045102942,-0.10793114595029718,-0.2128644829618372,1567455183308
1316,1316,428,Gyroscope,0.3606051858231478,-0.1390203269644147,-0.3351734446372897,1567455183310
1318,1318,428,Gyroscope,0.42764862188412245,-0.18339659537187397,-0.46459047797188624,1567455183311
1321,1321,428,Gyroscope,0.48124976338344844,-0.2481549905205141,-0.6033089343827375,1567455183313
1323,1323,428,Gyroscope,0.5290281406098252,-0.33261636349230195,-0.7379219383293303,1567455183315
1325,1325,428,Gyroscope,0.5763384145779236,-0.4316464339975483,-0.8588609462182906,1567455183318
1327,1327,428,Gyroscope,0.6242979741141068,-0.5352071062014156,-0.9621591752533628,1567455183320
1329,1329,428,Gyroscope,0.6714514186024614,-0.6291924601139798,-1.0418691676082117,1567455183322
1331,1331,428,Gyroscope,0.716873016410496,-0.7102723809294084,-1.0994434875415746,1567455183323
1333,1333,428,Gyroscope,0.7597353623150371,-0.7891309157437507,-1.1463346903224085,1567455183325
1335,1335,428,Gyroscope,0.7947778068360469,-0.8708043962477701,-1.188115075378545,1567455183327
1337,1337,428,Gyroscope,0.8145387714540594,-0.9485196378050176,-1.2231451398888171,1567455183330
1339,1339,428,Gyroscope,0.8175207083864993,-1.0185919000617807,-1.2521193527184586,1567455183332
1341,1341,428,Gyroscope,0.8090992543126608,-1.084149067441039,-1.2724650928219232,1567455183334
1343,1343,428,Gyroscope,0.7936121732519172,-1.144482162681356,-1.2773223560311826,1567455183335
1345,1345,428,Gyroscope,0.7679869547148429,-1.1899027567200937,-1.2708491707283145,1567455183337
1347,1347,428,Gyroscope,0.725780057703127,-1.2062566725933297,-1.2666589745545715,1567455183339
1349,1349,428,Gyroscope,0.6683509672887887,-1.1862830179323969,-1.2664801165121595,1567455183342
1351,1351,428,Gyroscope,0.6067312525178541,-1.1401606137882987,-1.258318880362289,1567455183344
1353,1353,428,Gyroscope,0.5480120919200014,-1.0881896813424474,-1.2355284307670742,1567455183346
1355,1355,428,Gyroscope,0.4857022770465216,-1.0400842743308403,-1.2010262766489903,1567455183347
1357,1357,428,Gyroscope,0.41078382127753227,-0.9912593772345173,-1.1563028582384445,1567455183349
1359,1359,428,Gyroscope,0.3270341935808395,-0.9397374209187017,-1.1004947851441362,1567455183351
