Unnamed: 0.1,Unnamed: 0,statusId,sensorName,valueX,valueY,valueZ,timestamp
1107,1107,433,Accelerometer,-0.3051424802298126,0.12817485207101162,0.6512879570894009,1567455380300
1109,1109,433,Accelerometer,-0.5934336295968176,0.11362167017140135,0.3402321490786723,1567455380302
1111,1111,433,Accelerometer,-0.739375107501852,0.08581577696521422,0.12619291124378904,1567455380304
1114,1114,433,Accelerometer,-0.7544549787397021,0.042994979243302416,-0.037232638433025426,1567455380306
1116,1116,433,Accelerometer,-0.7374181428786278,0.0006087652472211245,-0.23921565830220973,1567455380308
1118,1118,433,Accelerometer,-0.7377239021860162,-0.02349169888136463,-0.4682207452803351,1567455380310
1120,1120,433,Accelerometer,-0.7449772799380594,-0.037354752394422645,-0.6474551498489479,1567455380312
1121,1121,433,Accelerometer,-0.747204388376228,-0.0712908467269589,-0.732431170929598,1567455380314
1123,1123,433,Accelerometer,-0.7521792460339851,-0.1284180950993777,-0.72249322723082,1567455380316
1126,1126,433,Accelerometer,-0.7819807373890885,-0.16180399343133242,-0.6268242020122001,1567455380318
1127,1127,433,Accelerometer,-0.8684004528832965,-0.12923448100154633,-0.45409384187387564,1567455380320
1129,1129,433,Accelerometer,-1.0312772816217888,-0.05038208936723581,-0.2196131884174769,1567455380322
1132,1132,433,Accelerometer,-1.2427619435931319,0.016460441527157796,0.05699318435381705,1567455380324
1133,1133,433,Accelerometer,-1.436956172983919,0.03522015024341835,0.3561906824808204,1567455380326
1136,1136,433,Accelerometer,-1.5713859988601033,0.007924316547907546,0.6399750423394461,1567455380328
1137,1137,433,Accelerometer,-1.646172432318201,-0.057485137823929056,0.8420128231649268,1567455380331
1140,1140,433,Accelerometer,-1.6625370367890784,-0.17012672829351969,0.9185050321416558,1567455380332
1141,1141,433,Accelerometer,-1.6147407847658568,-0.33543674633712683,0.9021184728772322,1567455380334
1143,1143,433,Accelerometer,-1.516014465261671,-0.5283991981369651,0.866658848822967,1567455380336
1145,1145,433,Accelerometer,-1.3868560368291578,-0.7084026864801793,0.8505716940333169,1567455380339
1147,1147,433,Accelerometer,-1.2368947993772463,-0.851055739058679,0.8441097330813123,1567455380340
1149,1149,433,Accelerometer,-1.0812139880622624,-0.9582669971588695,0.8320092073702363,1567455380342
1151,1151,433,Accelerometer,-0.9381065219051425,-1.051165707835818,0.8194052902612307,1567455380344
1153,1153,433,Accelerometer,-0.7992002794752071,-1.1482863038692166,0.8196071334728384,1567455380347
1155,1155,433,Accelerometer,-0.6415682666879476,-1.2406541967563531,0.8337531156939784,1567455380348
1158,1158,433,Accelerometer,-0.4765288462567939,-1.3021574654902417,0.8540643799767227,1567455380350
1160,1160,433,Accelerometer,-0.34785269596832313,-1.3241549191334046,0.8831777216888861,1567455380352
1162,1162,433,Accelerometer,-0.27246706726361136,-1.3200817152737478,0.9275288160848599,1567455380354
1164,1164,433,Accelerometer,-0.22065783259342425,-1.3043305574401738,0.9638515601373209,1567455380356
1165,1165,433,Accelerometer,-0.165747520941473,-1.2882294364058606,0.9449220492928955,1567455380358
1167,1167,433,Accelerometer,-0.11585480209321658,-1.2811846332628332,0.8597775657281725,1567455380360
1169,1169,433,Accelerometer,-0.08615008937716478,-1.2744139040186897,0.7500812990853081,1567455380363
1171,1171,433,Accelerometer,-0.07328121319071979,-1.2463347850179842,0.6433487297312787,1567455380364
1173,1173,433,Accelerometer,-0.06879629131596704,-1.197610135064871,0.518728260450384,1567455380366
1175,1175,433,Accelerometer,-0.07668044161043222,-1.1477713327614447,0.3560849431607046,1567455380368
1177,1177,433,Accelerometer,-0.106114048523548,-1.0953673019072692,0.16671435895682668,1567455380371
1179,1179,433,Accelerometer,-0.15584578558811507,-1.0213379065790318,-0.030671724984874547,1567455380372
1182,1182,433,Accelerometer,-0.2176930511474526,-0.9257598019161744,-0.22912402591755643,1567455380374
1184,1184,433,Accelerometer,-0.2917594908814224,-0.8285266459302665,-0.4321636316891556,1567455380377
1186,1186,433,Accelerometer,-0.38379945441001173,-0.7413942761431213,-0.6402211404186202,1567455380378
1188,1188,433,Accelerometer,-0.4896822970713658,-0.6539955721307038,-0.8366127152267144,1567455380380
1190,1190,433,Accelerometer,-0.5919543232044622,-0.5458247180773035,-1.000137662922453,1567455380382
1192,1192,433,Accelerometer,-0.6663133950436488,-0.4164604970963681,-1.1228973924852181,1567455380384
1194,1194,433,Accelerometer,-0.6944160757292501,-0.29530012547322426,-1.2023839426712708,1567455380386
1196,1196,433,Accelerometer,-0.6807678127386132,-0.2057965527385186,-1.2359908101296913,1567455380388
1197,1197,433,Accelerometer,-0.6433895794493345,-0.1375946343434335,-1.2336627395391369,1567455380390
1199,1199,433,Accelerometer,-0.5827164715369116,-0.07376474306026781,-1.2233299267877795,1567455380392
1201,1201,433,Accelerometer,-0.48524226746511123,-0.025036189916028004,-1.2382550228454239,1567455380394
1203,1203,433,Accelerometer,-0.3562725880054596,-0.012991399315212138,-1.2952727377456845,1567455380396
1205,1205,433,Accelerometer,-0.21971940128734593,-0.035241013303716075,-1.3837622246653374,1567455380398
1207,1207,433,Accelerometer,-0.09184032537474418,-0.07483203773517412,-1.4808477042711128,1567455380400
1209,1209,433,Accelerometer,0.02079692618476467,-0.13063008939467177,-1.5711871926739314,1567455380402
1211,1211,433,Accelerometer,0.10530721124272951,-0.20599390544931798,-1.645000629013171,1567455380404
1213,1213,433,Accelerometer,0.14347100289347173,-0.2815777396553165,-1.6889011144211934,1567455380406
1215,1215,433,Accelerometer,0.13082742360949445,-0.3334040311751079,-1.6879381771418553,1567455380408
1217,1217,433,Accelerometer,0.08890953535405374,-0.3634148586550455,-1.6349940237544587,1567455380410
1219,1219,433,Accelerometer,0.052757014951355874,-0.38692571281404853,-1.5441477571153603,1567455380412
1221,1221,433,Accelerometer,0.046453222468459905,-0.4113461247526655,-1.4455545063934747,1567455380414
1224,1224,433,Accelerometer,0.07846338028294189,-0.44781579810031963,-1.3403972291317012,1567455380417
1225,1225,433,Accelerometer,0.15365449637911874,-0.5160236095061329,-1.185639225884778,1567455380418
1227,1227,433,Accelerometer,0.2661200087035845,-0.6121370223616271,-0.9683020368263673,1567455380420
1229,1229,433,Accelerometer,0.3875531248808413,-0.7000623662871045,-0.7449125682105673,1567455380422
1231,1231,433,Accelerometer,0.4954209106648283,-0.7641841843846777,-0.5535426385560531,1567455380424
1233,1233,433,Accelerometer,0.6005523209134791,-0.8390777828595735,-0.36215043476712316,1567455380426
1235,1235,433,Accelerometer,0.7136934962613747,-0.950911078581382,-0.1470464456948293,1567455380428
1237,1237,433,Accelerometer,0.8034666814477741,-1.0577654463359918,0.06452428560065031,1567455380430
1240,1240,433,Accelerometer,0.8185688411605271,-1.0856990017450543,0.25017777466733754,1567455380433
1242,1242,433,Accelerometer,0.7417049275314789,-1.0123737307036438,0.41901472519595573,1567455380434
1243,1243,433,Accelerometer,0.603267531584172,-0.888810482375346,0.576731740321817,1567455380436
1245,1245,433,Accelerometer,0.4421427854884264,-0.7783260009751083,0.6955823320040114,1567455380438
1247,1247,433,Accelerometer,0.27067764868737204,-0.6978168508290885,0.725450872361566,1567455380440
1249,1249,433,Accelerometer,0.10023240588464127,-0.6384930880679214,0.6436891111872869,1567455380443
1251,1251,433,Accelerometer,-0.0142516072713368,-0.6277727585579198,0.4833473491259417,1567455380444
1253,1253,433,Accelerometer,-0.003216061039804571,-0.7286442599690548,0.2981044920497691,1567455380446
1256,1256,433,Accelerometer,0.1319947157112281,-0.9542878942999058,0.13063265423629175,1567455380448
1258,1258,433,Accelerometer,0.2951676432943825,-1.202127094210025,0.02159634165358596,1567455380450
1259,1259,433,Accelerometer,0.38762357048545004,-1.329160597905329,-0.0007525853397691846,1567455380452
