Unnamed: 0,statusId,sensorName,valueX,valueY,valueZ,timestamp
2069,11,Accelerometer,-0.004600286740677624,-0.0018888070639468428,-0.0006409273976410146,1566938924015
2070,11,Accelerometer,-0.007336815629453623,0.0057709948794141906,-0.0031404394504665734,1566938924023
2071,11,Accelerometer,-0.015992196850009324,-0.00783197273356274,-0.009186635395599496,1566938924034
2072,11,Accelerometer,-0.025868530281593013,-0.03265212824291966,-0.02065314897574593,1566938924044
2073,11,Accelerometer,-0.028747640529218736,-0.04628390839207389,-0.03260209835898949,1566938924054
2074,11,Accelerometer,-0.024318560316568174,-0.04798590324803474,-0.03746374927677485,1566938924064
2075,11,Accelerometer,-0.016765908933767934,-0.050405696626887875,-0.0349739717861598,1566938924073
2076,11,Accelerometer,-0.007277306375159429,-0.052349527306492075,-0.02983521525990633,1566938924084
2077,11,Accelerometer,0.0027058330455328916,-0.045936982913109575,-0.02358825424246159,1566938924094
2078,11,Accelerometer,0.009538032833456058,-0.0390110888213568,-0.017435490030967393,1566938924104
2079,11,Accelerometer,0.013315069373657422,-0.047002658416181134,-0.017450655298594044,1566938924113
2080,11,Accelerometer,0.016336232660579843,-0.045936982913109575,-0.027379898846232396,1566938924123
2081,11,Accelerometer,0.015267534026097183,-0.04628390839207389,-0.03964390228262964,1566938924133
2082,11,Accelerometer,0.0048522363132441305,-0.047002658416181134,-0.04208943128774331,1566938924144
2083,11,Accelerometer,-0.012220416120050622,-0.057471196090801965,-0.03240440205899598,1566938924154
2084,11,Accelerometer,-0.027953378115041207,-0.04039347750187419,-0.01978509192633956,1566938924163
2085,11,Accelerometer,-0.039008811965488194,-0.03431088618881802,-0.013422633818099206,1566938924173
2086,11,Accelerometer,-0.04656917128362889,-0.035778375105423296,-0.013458853871161554,1566938924183
2087,11,Accelerometer,-0.04958720079280745,-0.03817184154148151,-0.013540801394181054,1566938924193
2088,11,Accelerometer,-0.04636004291186389,-0.03915260198766407,-0.011008030531844768,1566938924202
2089,11,Accelerometer,-0.04032631293028825,-0.04133835650664076,-0.01168716945941585,1566938924212
2090,11,Accelerometer,-0.03605671352297238,-0.04732019775685682,-0.020805950553756215,1566938924223
2091,11,Accelerometer,-0.031728442636734855,-0.05411168624977028,-0.032391262021696066,1566938924233
2092,11,Accelerometer,-0.023451996622512933,-0.05530300595083949,-0.03513592092458909,1566938924243
2093,11,Accelerometer,-0.014225484169141971,-0.04987335295947663,-0.02712004856545759,1566938924252
2094,11,Accelerometer,-0.011005053856252285,-0.0438592488318505,-0.017859587679429897,1566938924262
2095,11,Accelerometer,-0.01570744682295621,-0.041732341195810305,-0.01644170828145903,1566938924272
2096,11,Accelerometer,-0.02505049265733326,-0.042455007727016984,-0.021212086272149815,1566938924283
2097,11,Accelerometer,-0.036099162986287237,-0.044289656435105934,-0.021547245948987343,1566938924292
2098,11,Accelerometer,-0.04716065538127693,-0.045626512620558425,-0.011030879017759242,1566938924302
2099,11,Accelerometer,-0.05562100778743429,-0.042181206320736395,-0.015989206886129197,1566938924312
2100,11,Accelerometer,-0.0592492621273132,-0.03205752741232267,-0.015989206886129197,1566938924322
2101,11,Accelerometer,-0.05952272023647724,-0.04032339883396853,-0.015989206886129197,1566938924333
2102,11,Accelerometer,-0.06035017705374687,-0.0390885450558532,-0.03194779866666759,1566938924341
2103,11,Accelerometer,-0.06260969121398294,-0.03093553842383647,-0.029692408594939254,1566938924352
2104,11,Accelerometer,-0.06320375827875672,-0.04032339883396853,-0.013589841878998681,1566938924362
2105,11,Accelerometer,-0.06026256117008242,-0.042740491088868376,-0.0025412346652040276,1566938924372
2106,11,Accelerometer,-0.05506113176991123,-0.0390885450558532,-0.004880107555676464,1566938924381
2107,11,Accelerometer,-0.04824061689982137,-0.03454557528097389,-0.01212334759869562,1566938924391
2108,11,Accelerometer,-0.039210934760613846,-0.03244368476115151,-0.014750920911994784,1566938924401
2109,11,Accelerometer,-0.029844964967454243,-0.033029988470568386,-0.011360474034202978,1566938924412
2110,11,Accelerometer,-0.02323477304688063,-0.03506472002866518,-0.00455451536768643,1566938924420
2111,11,Accelerometer,-0.01803688861418846,-0.0359216964200105,0.0005875937082036851,1566938924431
2112,11,Accelerometer,-0.009876371203137117,-0.03298630434485555,-0.0032651678228649934,1566938924441
2113,11,Accelerometer,0.0003129784350820906,-0.028272023594733204,-0.01618563744144302,1566938924451
2114,11,Accelerometer,0.005229717615734337,-0.028078461522256362,-0.02496117331668968,1566938924461
2115,11,Accelerometer,0.001058736770531025,-0.034271008166868164,-0.01825006409321829,1566938924470
2116,11,Accelerometer,-0.006517970821925469,-0.03937203408265867,-0.005488550128027122,1566938924480
2117,11,Accelerometer,-0.010055841315419275,-0.03449997291333884,-0.00733001780735224,1566938924491
2118,11,Accelerometer,-0.010456175753526416,-0.02051164298812782,-0.026077340095197257,1566938924501
2119,11,Accelerometer,-0.01380629611348241,-0.007768955400823273,-0.03924036715437844,1566938924510
2120,11,Accelerometer,-0.02054394871222683,-0.004447108163487835,-0.028428378343003057,1566938924520
2121,11,Accelerometer,-0.025086766541719104,-0.006884111211107123,-0.0026271107055261967,1566938924530
2122,11,Accelerometer,-0.025381144678071715,-0.004277263173437258,0.016423035229684337,1566938924541
2123,11,Accelerometer,-0.02575344415967084,0.005347083007512964,0.021461988341719203,1566938924551
2124,11,Accelerometer,-0.030507820184868327,0.009284664380559356,0.022283966572492146,1566938924560
2125,11,Accelerometer,-0.038771249743249074,-0.0008195942604890777,0.0285986029871761,1566938924570
2126,11,Accelerometer,-0.02099962330242726,-0.00867848765528391,0.03635547860671866,1566938924580
2127,11,Accelerometer,-0.039376152285658855,0.01031573544909586,0.02949737955817735,1566938924590
2128,11,Accelerometer,-0.026134913418497066,-0.0049445875140000485,0.0011784170497259197,1566938924599
2129,11,Accelerometer,-0.016546918698165117,-0.0049445875140000485,-0.026908768739008236,1566938924609
2130,11,Accelerometer,-0.018939145431084332,-0.0049445875140000485,-0.023550330023199673,1566938924620
2131,11,Accelerometer,-0.026483437068882263,0.009280202046661655,0.01025255727849782,1566938924630
2132,11,Accelerometer,-0.027602403141450814,-0.007451251386949849,0.0373394152759228,1566938924640
2133,11,Accelerometer,-0.02099962330242726,-0.0049445875140000485,0.027648342815249402,1566938924649
2134,11,Accelerometer,-0.012597655207426613,-0.012486035011992993,-0.009063588887455648,1566938924659
2135,11,Accelerometer,-0.00516814431864575,-0.00867848765528391,-0.039319713949449546,1566938924669
2136,11,Accelerometer,0.0014583588773712576,-0.00867848765528391,0.0011784170497259197,1566938924680
2137,11,Accelerometer,0.005600047275513558,-0.0077149137142607255,-0.03196516859207253,1566938924688
2138,11,Accelerometer,0.0037520699967851746,-0.01767447370540129,-0.01671019252812502,1566938924699
2139,11,Accelerometer,-0.006107034781868257,-0.011824029637350332,-0.0021906518996911077,1566938924709
2140,11,Accelerometer,-0.019447975420221884,-0.013987842824461742,0.009199012012764083,1566938924719
2141,11,Accelerometer,-0.0251329376095092,-0.016240518244357467,0.010298162196272168,1566938924728
2142,11,Accelerometer,-0.017463798678000034,-0.016200868445888344,0.002560907124015352,1566938924738
2143,11,Accelerometer,-0.004934010748313437,-0.01357581236192152,-0.0011898852196071867,1566938924749
2144,11,Accelerometer,0.00032574709214576426,-0.0077149137142607255,0.0031014149329218607,1566938924759
2145,11,Accelerometer,-0.003231316605884265,-0.002495373299971771,0.004171666710104314,1566938924769
2146,11,Accelerometer,-0.008129261544403153,-0.0012200894665655427,-0.0026005888637363806,1566938924778
2147,11,Accelerometer,-0.008852775937769215,0.003823421826182165,-0.005724174041701249,1566938924788
2148,11,Accelerometer,-0.007656525307883458,0.018970777246165447,0.0014862553710438748,1566938924798
2149,11,Accelerometer,-0.010014130044446132,0.03304357365327622,0.01081719439145283,1566938924809
2150,11,Accelerometer,-0.014649013527296528,0.03375296878334676,0.014568774340325958,1566938924817
2151,11,Accelerometer,-0.011567139818152813,0.027988036302649393,0.012381256314600596,1566938924828
2152,11,Accelerometer,0.004619164716531662,0.028173221214545525,0.005721683669399042,1566938924838
2153,11,Accelerometer,0.022849266835799045,0.031329822435035196,0.0006179558323646734,1566938924848
2154,11,Accelerometer,0.028563520766649562,0.02719764682035661,0.005415290164411738,1566938924858
2155,11,Accelerometer,0.02762408471654492,0.018727830976238483,0.01400109468353257,1566938924867
2156,11,Accelerometer,0.039575287305317015,0.017746640055262778,0.007427238861872973,1566938924877
2157,11,Accelerometer,0.06366251624013836,0.02291588709247652,-0.015320351421863748,1566938924888
2158,11,Accelerometer,0.022849266835799045,0.02271845199876764,0.01081719439145283,1566938924898
2159,11,Accelerometer,0.05213798314163702,0.020559145616468568,-0.009466398498399668,1566938924907
2160,11,Accelerometer,0.018692937734733454,0.030440493129433865,0.021577166823814987,1566938924917
2161,11,Accelerometer,0.0020844338170817943,0.04704869294768814,0.03908171749797924,1566938924927
2162,11,Accelerometer,0.008236801514926215,0.05063733045409659,0.038424702203737005,1566938924938
2163,11,Accelerometer,0.01968379606272346,0.042675481204738824,0.03155926460984192,1566938924948
2164,11,Accelerometer,0.024118161354549833,0.0470405557244679,0.027582988484407787,1566938924957
2165,11,Accelerometer,0.026711120046974478,0.06956967404895632,0.02728303112379606,1566938924967
2166,11,Accelerometer,0.030405531979185087,0.07589259362783701,0.021547760653842576,1566938924977
2167,11,Accelerometer,0.025112213955037592,0.02761828416778809,-0.0024832632824612253,1566938924987
2168,11,Accelerometer,0.008874397289249884,-0.05540595883806054,-0.03767016059163898,1566938924996
2169,11,Accelerometer,-0.001471196323151236,0.016647635760650318,-0.05289567509177024,1566938925006
2170,11,Accelerometer,0.006544271290891224,-0.05873275227452113,-0.03337057057427885,1566938925017
2171,11,Accelerometer,0.027408062422648365,0.006396337692949188,-0.00463920295962094,1566938925027
2172,11,Accelerometer,0.05037430382630047,0.030945778776977677,0.004937953860035633,1566938925036
2173,11,Accelerometer,0.027408062422648365,0.016647635760650318,-0.0007981596914803332,1566938925046
2174,11,Accelerometer,0.059864988704906294,-0.0018105268085112155,-0.0068039891546943145,1566938925056
2175,11,Accelerometer,0.04170215801921619,-0.014467486694569529,-0.01194175854475299,1566938925066
2176,11,Accelerometer,0.02754436856011049,-0.023827247135597748,-0.01793429355555912,1566938925077
2177,11,Accelerometer,0.021335861483496744,-0.02668798496651891,-0.020378327565262477,1566938925085
2178,11,Accelerometer,0.015720669218769946,-0.026710673346631363,-0.01977731355038517,1566938925096
2179,11,Accelerometer,0.01513810621111775,-0.033883309195065825,-0.023066713061543218,1566938925106
2180,11,Accelerometer,0.027830727840103518,-0.04737231486971552,-0.03140870563084608,1566938925116
2181,11,Accelerometer,0.04459586176333576,-0.05428343857271613,-0.03703522008937523,1566938925125
2182,11,Accelerometer,0.051784121986727216,-0.04675981099503304,-0.03346538823394595,1566938925135
2183,11,Accelerometer,0.053480047012526746,-0.033788425912150775,-0.0246494800691246,1566938925146
2184,11,Accelerometer,0.05937758886559778,-0.031196119077965604,-0.020876986953346,1566938925156
2185,11,Accelerometer,0.06505181834547569,-0.04297776890095569,-0.026012846443404448,1566938925166
2186,11,Accelerometer,0.06359360282393998,-0.059137054665458724,-0.0340646834157626,1566938925175
2187,11,Accelerometer,0.06271881981869133,-0.06827375927500164,-0.038362882858647404,1566938925185
2188,11,Accelerometer,0.07174679334946107,-0.0662270309741695,-0.03772860745141258,1566938925195
2189,11,Accelerometer,0.08121354621122982,-0.05781450439032648,-0.03502280349503892,1566938925206
2190,11,Accelerometer,0.07253592889140345,-0.05398243348385241,-0.034091049794113905,1566938925214
2191,11,Accelerometer,0.04540722013679888,-0.0600030131976393,-0.034528066658081565,1566938925225
2192,11,Accelerometer,0.0210645046227675,-0.06670512966246672,-0.0306698835329442,1566938925235
2193,11,Accelerometer,0.014954512329114232,-0.06243820608647488,-0.022478910268423073,1566938925245
