Unnamed: 0.1,Unnamed: 0,statusId,sensorName,valueX,valueY,valueZ,timestamp
21329,21329,6,Gyroscope,-0.5020672518385102,-3.6474562983227443,-7.329944917677992,1567539238656
21330,21330,6,Gyroscope,-0.5257380275997423,-4.410744967338005,-6.750762308236486,1567539238666
21331,21331,6,Gyroscope,-0.19292631580441402,-4.2011138160873,-6.4628414134913665,1567539238676
21332,21332,6,Gyroscope,-0.1474183779850461,-3.4875664407896894,-6.359537070466859,1567539238686
21333,21333,6,Gyroscope,-0.6911243985319698,-3.449417891766157,-6.11266535379584,1567539238696
21334,21334,6,Gyroscope,-0.9532727673319965,-4.037535410794739,-5.783594082054286,1567539238706
21335,21335,6,Gyroscope,-0.5361020502690278,-4.052069349559096,-5.778418943613641,1567539238716
21336,21336,6,Gyroscope,-0.4590736972849855,-3.328335724234133,-5.975943359967869,1567539238726
21337,21337,6,Gyroscope,-1.4445582550321574,-3.1189887126510367,-5.66498560850309,1567539238736
21338,21338,6,Gyroscope,-2.6133386486635044,-3.7897758060904145,-4.728887356679257,1567539238746
21339,21339,6,Gyroscope,-0.6911243985319698,-4.045736465294886,-3.9896571536504384,1567539238756
21340,21340,6,Gyroscope,-1.8141260218256638,-3.183807453317392,-3.938258402669064,1567539238766
21341,21341,6,Gyroscope,-0.697806372112521,-2.2718450749187244,-4.047110196668218,1567539238776
21342,21342,6,Gyroscope,-0.26092927601400606,-2.2668638885785186,-3.7499019265989944,1567539238786
21343,21343,6,Gyroscope,-0.5248598761274776,-2.5399481707979623,-3.2607518243867135,1567539238796
21344,21344,6,Gyroscope,-0.7093527100796044,-2.0846688069382635,-3.0535229641973824,1567539238806
21345,21345,6,Gyroscope,-0.5442229421407087,-1.1197716022387754,-3.1145026106422318,1567539238816
21346,21346,6,Gyroscope,-0.7780301864119654,-0.7960909639557914,-3.0094617736320446,1567539238826
21347,21347,6,Gyroscope,-1.4350456877972269,-1.6226542731115925,-2.5123705038701827,1567539238836
21348,21348,6,Gyroscope,-1.127764579972733,-2.519628099569265,-2.014015206240893,1567539238846
21349,21349,6,Gyroscope,0.45233403885978574,-1.88467172650241,-2.052477899952624,1567539238856
21350,21350,6,Gyroscope,1.1385031539585828,0.12342533099202802,-2.366021908564775,1567539238866
21351,21351,6,Gyroscope,-0.718125507203561,1.2571312595061332,-2.0184235482212634,1567539238876
21352,21352,6,Gyroscope,-3.1560110611205494,0.1257565672448478,-0.8294792819712609,1567539238886
21353,21353,6,Gyroscope,-2.7408523308537194,-1.4125515713989822,0.10653543432709014,1567539238896
21354,21354,6,Gyroscope,0.4864642336897641,-0.5541456132183504,0.01740715801045717,1567539238906
21355,21355,6,Gyroscope,2.624015875413981,2.0881274640829885,-0.14331704293497582,1567539238916
21356,21356,6,Gyroscope,1.358719220786766,2.8712148857119217,1.0484377387404933,1567539238926
21357,21357,6,Gyroscope,-0.9768326836849051,0.5521013128661868,3.0591001297000506,1567539238936
21358,21358,6,Gyroscope,-1.830102955455827,-1.4459673872501762,3.6451809362895626,1567539238946
21359,21359,6,Gyroscope,-2.4381188083895786,0.07961709433425918,2.179431129522987,1567539238956
21360,21360,6,Gyroscope,-4.3042462303383235,3.458680053286959,1.167589025992449,1567539238966
21361,21361,6,Gyroscope,-0.718125507203561,4.7107644929045085,2.902544108879982,1567539238976
21362,21362,6,Gyroscope,-4.141886031205553,3.13729106982718,6.1098956400599995,1567539238986
21363,21363,6,Gyroscope,-1.6306091711399349,1.8661348473006616,7.9624816954347555,1567539238996
21364,21364,6,Gyroscope,-0.14790575120931296,3.066273470323168,7.978769272153906,1567539239006
21365,21365,6,Gyroscope,0.47209562263471655,3.13729106982718,7.8008225072229775,1567539239016
21366,21366,6,Gyroscope,0.9813391317483393,4.892970201278063,8.40012545458298,1567539239026
21367,21367,6,Gyroscope,0.9506180362158712,3.352411274231906,9.289692683974991,1567539239036
21368,21368,6,Gyroscope,0.24675185196327362,2.758921330713322,9.632833879761098,1567539239046
21369,21369,6,Gyroscope,-0.27103218735124773,3.517928842077047,9.163803158364686,1567539239056
21370,21370,6,Gyroscope,-0.39719534486567887,3.972781067524119,8.467812507485739,1567539239066
21371,21371,6,Gyroscope,-0.7868165894122519,3.4080367668343454,8.375968055208483,1567539239076
21372,21372,6,Gyroscope,-1.3391350535555206,2.809248332000121,8.836442242593025,1567539239086
21373,21373,6,Gyroscope,-1.188867196612611,3.0114526913272943,9.030739354659232,1567539239096
21374,21374,6,Gyroscope,-0.21585758521671006,3.734795144182897,8.765200693289014,1567539239106
21375,21375,6,Gyroscope,0.7073890151031567,4.336890350680053,8.708237701380732,1567539239116
21376,21376,6,Gyroscope,0.8254183320680498,4.507166315950968,9.074492482415835,1567539239126
21377,21377,6,Gyroscope,0.26906289228873703,4.299192857321337,9.246356665384544,1567539239136
21378,21378,6,Gyroscope,-0.11911773829416449,4.136401567513332,8.886278868836541,1567539239146
21379,21379,6,Gyroscope,0.022102612012347728,4.569580644485702,8.33604506741725,1567539239156
21380,21380,6,Gyroscope,-0.4371942089487104,5.289886746342292,7.927114652680402,1567539239166
21381,21381,6,Gyroscope,-2.213704266532184,4.922397679004069,7.843155082291531,1567539239176
21382,21382,6,Gyroscope,-0.4371942089487104,3.2561268936257437,8.201608464593107,1567539239186
21383,21383,6,Gyroscope,-0.6949489199277075,2.7388513389796088,8.490832900937093,1567539239196
21384,21384,6,Gyroscope,-0.21585758521671006,4.968372016281639,8.025442896350834,1567539239206
21385,21385,6,Gyroscope,1.2116413976592955,6.929961566545771,7.43655577977212,1567539239216
