sensorName,valueX,valueY,valueZ,timestamp
Gyroscope,-0.12659874532490462,0.08589577052829811,-0.10788053589166016,1625669710787.6099
Gyroscope,0.4972947388126905,-0.5226335724256941,-0.08036800675335325,1625669710797.577
Gyroscope,0.5221283224893264,-0.4894440096945004,-0.11966797113198385,1625669710807.5437
Gyroscope,0.2789475867374834,-0.245055547836585,-0.1700021606765206,1625669710817.5107
Gyroscope,0.284604552803028,-0.31470087753669423,-0.17243557235980783,1625669710827.4775
Gyroscope,0.41849136365956796,-0.41960948509610774,-0.14615956224891152,1625669710837.4446
Gyroscope,0.4011022692138233,-0.28206277345390174,-0.15404412186290511,1625669710847.4114
Gyroscope,0.30939010013490376,-0.1872495102223875,-0.24639320790595093,1625669710857.3782
Gyroscope,0.2908377297107743,-0.303233886301554,-0.3344903806634355,1625669710867.3452
Gyroscope,0.3198058475929637,-0.393859281222638,-0.2639930798025824,1625669710877.312
Gyroscope,0.33122617679402494,-0.3589576484245883,-0.12651938741366003,1625669710887.279
Gyroscope,0.31981922686647557,-0.35498381397075707,-0.14390011697912783,1625669710897.2458
Gyroscope,0.3265678280135919,-0.40846875479820455,-0.24201505847101484,1625669710907.213
Gyroscope,0.3645022320976493,-0.38908688427010013,-0.22091537802254263,1625669710917.1797
Gyroscope,0.3724691262614393,-0.3049712105707664,-0.15386695245675794,1625669710927.1467
Gyroscope,0.3437212980249982,-0.30576403186120804,-0.15322291555020917,1625669710937.1135
Gyroscope,0.3647916603614731,-0.3975365185688941,-0.12733639644353523,1625669710947.0806
Gyroscope,0.4050181406656944,-0.3981139171585968,-0.08232405115376758,1625669710957.0474
Gyroscope,0.32865554792898244,-0.2510871342959983,-0.15121259548714858,1625669710967.0144
Gyroscope,0.32865554792898244,-0.3462496897729589,-0.21207921112034628,1625669710976.9812
Gyroscope,0.32865554792898244,-0.32600081632482714,-0.06279204375828645,1625669710986.948
Gyroscope,0.3443909886067181,-0.4991511144606122,-0.14390011697912783,1625669710996.915
Gyroscope,0.3235692277246201,-0.42044580721098607,-0.013866979693481628,1625669711006.8818
Gyroscope,0.19401023810552925,-0.24966208345350688,-0.19306526934327792,1625669711016.8489
Gyroscope,0.23535790645956334,-0.2873063179727211,-0.159474113097823,1625669711026.8157
Gyroscope,0.3946409688137199,-0.3702428315965328,-0.06294489423623896,1625669711036.7827
Gyroscope,0.38660067302361356,-0.24181353003172507,-0.10456261769673737,1625669711046.7495
Gyroscope,0.2794851632862137,-0.1453131331787694,-0.17220100375214373,1625669711056.7166
Gyroscope,0.3126583800435221,-0.2847527863365703,-0.1373652470307628,1625669711066.6833
Gyroscope,0.38405118266234506,-0.3462496897729589,-0.08245323932693513,1625669711076.6504
Gyroscope,0.3056382959461271,-0.18432708874944448,-0.12833819568979837,1625669711086.6172
Gyroscope,0.20055667239775898,-0.12811898747593298,-0.2207141506650246,1625669711096.5842
Gyroscope,0.2324928764626549,-0.2659759009974377,-0.18858128594369206,1625669711106.551
Gyroscope,0.2967487716425505,-0.2997855289518909,-0.07503495112998904,1625669711116.5178
Gyroscope,0.23850896327472482,-0.16679154004441166,-0.13138784613038618,1625669711126.4849
Gyroscope,0.131445746643151,-0.10338437468940587,-0.14144513893470514,1625669711136.4517
Gyroscope,0.13539005782294805,-0.18250841564539882,-0.14144513893470514,1625669711146.4187
Gyroscope,0.2049730096071639,-0.24178100599488578,-0.15587469487201822,1625669711156.3855
Gyroscope,0.18283128277554178,-0.19925507716831004,-0.14144513893470514,1625669711166.3525
Gyroscope,0.11046101531936167,-0.1760447588746515,-0.23328444842228183,1625669711176.3193
Gyroscope,0.14085588140221922,-0.24965373997518162,-0.2025055394984847,1625669711186.2864
Gyroscope,0.2278652902779816,-0.2823961705880216,-0.10053612306871243,1625669711196.2532
Gyroscope,0.21582153544964655,-0.17584544201176394,-0.11906950872147504,1625669711206.2202
Gyroscope,0.1201047903038705,-0.08629129610816241,-0.23867910922908459,1625669711216.187
Gyroscope,0.08518163063957995,-0.17095379570393998,-0.2583542465410655,1625669711226.154
Gyroscope,0.16209526057685336,-0.3269377068108444,-0.09402840832750624,1625669711236.1208
Gyroscope,0.23546172075686592,-0.1945146130893235,0.04631120243701467,1625669711246.0876
Gyroscope,0.18604866752654525,-0.1945146130893235,-0.03433386270790208,1625669711256.0547
Gyroscope,0.11037248270680435,-0.10447519377070957,-0.15740336745914904,1625669711266.0215
Gyroscope,0.1813793733424227,-0.21320748825965094,-0.09740662978316492,1625669711275.9885
Gyroscope,0.3004323092507693,-0.3073129661332429,-0.011942297161981176,1625669711285.9553
Gyroscope,0.25925097071452863,-0.1790666819222926,-0.08004593779776319,1625669711295.9224
Gyroscope,0.1600186315471511,-0.049387197459887594,-0.12990026046129233,1625669711305.8892
Gyroscope,0.21509820174828725,-0.1701177153236819,-0.04074578531727158,1625669711315.8562
Gyroscope,0.31447376878766997,-0.3262961208983378,-0.025437210915288833,1625669711325.823
Gyroscope,0.24206355775614513,-0.2224552397895308,-0.17403559217281003,1625669711335.79
Gyroscope,0.10381522048331565,-0.01095807001945455,-0.04074578531727158,1625669711345.7568
Gyroscope,0.1276421731231606,0.01229757093945978,-0.024477029173216584,1625669711355.7239
Gyroscope,0.21779322279592256,-0.07141506699780358,0.0654775233172664,1625669711365.6907
Gyroscope,0.13461892687998733,-0.02554660901353813,-0.0948762441328419,1625669711375.6575
Gyroscope,-0.030827882909511474,0.048644710741726896,-0.04092879755124867,1625669711385.6245
Gyroscope,-0.034862284224190514,-0.06356629519165947,-0.09280151559854644,1625669711395.5913
Gyroscope,0.046141154444675606,-0.19918330620132219,0.0033695982738177303,1625669711405.5583
Gyroscope,0.010036809500308844,-0.12594379610144635,-0.03717090374365823,1625669711415.5251
Gyroscope,-0.041527313850615276,-0.045454410177769994,-0.04092879755124867,1625669711425.4922
Gyroscope,0.06756804897001825,-0.16617818643747392,0.07321593194500434,1625669711435.459
Gyroscope,0.19393830673799006,-0.2377960370206986,-0.05576944088876848,1625669711445.426
Gyroscope,0.14264259080071198,-0.10200868532431259,-0.05576944088876848,1625669711455.3928
Gyroscope,0.05882722887100713,-0.05122072557221309,-0.05576944088876848,1625669711465.3599
Gyroscope,0.13122095803907352,-0.19432889157919012,-0.13431757744711198,1625669711475.3267
Gyroscope,0.2134520490309256,-0.26536678934834695,0.057133197675350675,1625669711485.2937
Gyroscope,0.16388252289231986,-0.2366857985944258,0.027372804628174232,1625669711495.2605
Gyroscope,0.14461216043915853,-0.2572522157771448,-0.09154143377903205,1625669711505.2273
Gyroscope,0.21026255342315883,-0.18028700451522783,-0.059192724132109124,1625669711515.1943
Gyroscope,0.182150921002799,0.02080479564448643,-0.018200649729639112,1625669711525.1611
Gyroscope,0.11900270066447467,-0.009110137841208687,-0.08750515700821353,1625669711535.1282
Gyroscope,0.19228637944695898,-0.21350627618472082,-0.09423934711278158,1625669711545.095
Gyroscope,0.21734640463460553,-0.10263908381037626,-0.028580944623349227,1625669711555.062
Gyroscope,0.043387746990065874,0.16447327372537457,-0.06613542050002397,1625669711565.0288
Gyroscope,-0.044463855853496215,0.01213177613512758,-0.11556626454201267,1625669711574.9958
Gyroscope,0.08312826485965367,-0.3098331672141539,-0.0070976354119116555,1625669711584.9626
Gyroscope,0.10898862112832103,-0.18575074977906314,0.10001267732808246,1625669711594.9297
Gyroscope,-0.029755596439219316,0.08561603190604213,0.0450126990979242,1625669711604.8965
Gyroscope,-0.000477018804016949,-0.06735168791936422,-0.00898422430702724,1625669711614.8635
