sensorName,valueX,valueY,valueZ,timestamp
Gyroscope,-0.057196146586230734,0.0340728418986478,0.01685174107158114,1550745076875.086
Gyroscope,-0.05678890947679068,0.04143405903572791,0.014666195810982451,1550745076885.1094
Gyroscope,-0.05603468156476323,0.04161857144670719,0.01650354681612501,1550745076895.133
Gyroscope,-0.053138439346599994,0.039568648957419204,0.02107764635074217,1550745076905.1567
Gyroscope,-0.04914373625564551,0.04221909476824482,0.023573573827222423,1550745076915.1802
Gyroscope,-0.048451715704997,0.046721734568896126,0.021978321915353993,1550745076925.2039
Gyroscope,-0.05210195224988286,0.0469870047702981,0.019200705873668292,1550745076935.2275
Gyroscope,-0.05556760972209201,0.04196658595646914,0.01824072720339246,1550745076945.251
Gyroscope,-0.055760642967630114,0.035714823487710046,0.018174587610544163,1550745076955.2747
Gyroscope,-0.05646916341279126,0.03559320496598653,0.017656364282565305,1550745076965.2983
Gyroscope,-0.06355042886774995,0.0421065173393374,0.01933388851569783,1550745076975.3218
Gyroscope,-0.07627478847495905,0.04250085287009523,0.025569689732294416,1550745076985.3455
Gyroscope,-0.08780450057748615,0.03394161631990885,0.03242481026448839,1550745076995.3691
Gyroscope,-0.09400328213141443,0.03665805161640242,0.023573573827222423,1550745077005.3928
Gyroscope,-0.09599498091732296,0.054971251072041025,0.03190165043526238,1550745077015.4163
Gyroscope,-0.09500480114073165,0.059698943788410536,0.02951716333797395,1550745077025.44
Gyroscope,-0.09154782073615102,0.040314219878415145,0.028409662480930506,1550745077035.4636
Gyroscope,-0.08722166044912087,0.02700914509297553,0.026894658848420072,1550745077045.487
Gyroscope,-0.08244377203989688,0.03974469890425214,0.02399207299745702,1550745077055.5107
Gyroscope,-0.07671186677040875,0.060972362410004144,0.021028489510029405,1550745077065.5344
Gyroscope,-0.07175413628179242,0.06646645860310513,0.020880083143927655,1550745077075.5579
Gyroscope,-0.06886347476756374,0.05594048124486333,0.02400914443485595,1550745077085.5815
Gyroscope,-0.06532441823887586,0.04994903256462837,0.025666028002572026,1550745077095.6052
Gyroscope,-0.05874827154620536,0.06037796574921993,0.02152212877138152,1550745077105.6287
Gyroscope,-0.05195137362157895,0.07246220202776099,0.015222177876694406,1550745077115.6523
Gyroscope,-0.04918445436366485,0.06779025596163499,0.02400914443485595,1550745077125.676
Gyroscope,-0.05030941795823615,0.053349285089488344,0.02102849281923389,1550745077135.6995
Gyroscope,-0.05175901547744633,0.04919131938211128,0.028651364408463532,1550745077145.7231
Gyroscope,-0.050342722846623375,0.05201145073270242,0.032263270466469554,1550745077155.7468
Gyroscope,-0.04557072055064277,0.03545751769545789,0.03133368890228069,1550745077165.7705
Gyroscope,-0.042146973292307904,-0.0021770646648214317,0.027289182158478937,1550745077175.794
Gyroscope,-0.046798560131559246,-0.024354055986571733,0.022210542285191412,1550745077185.8176
Gyroscope,-0.05815215280233153,-0.015674399805958583,0.019570314041499587,1550745077195.8413
Gyroscope,-0.06833850810883206,-0.008753538293306662,0.021644006287736495,1550745077205.8647
Gyroscope,-0.07715945891435724,-0.02459402877783254,0.025618618324573586,1550745077215.8884
Gyroscope,-0.09004661957633481,-0.0427211763887676,0.025582478206332446,1550745077225.912
Gyroscope,-0.10341282199176013,-0.047565772670498774,0.01907640769167185,1550745077235.9355
Gyroscope,-0.10956408005896977,-0.04961949618781354,0.009261896012776816,1550745077245.9592
Gyroscope,-0.11008062496290874,-0.05518687099623332,-6.052621507808727e-05,1550745077255.983
Gyroscope,-0.10961192980142663,-0.05529750089058082,-0.008919090327830207,1550745077266.0063
Gyroscope,-0.10705661437980019,-0.04786922536715009,-0.01756670746381323,1550745077276.03
Gyroscope,-0.10284672526530939,-0.04490891205870082,-0.020497469521597783,1550745077286.0537
Gyroscope,-0.10150336336856311,-0.05144632731868476,-0.011495039968852361,1550745077296.0771
Gyroscope,-0.10050664336379103,-0.060250436522966674,0.003776202008465647,1550745077306.1008
Gyroscope,-0.09045313566225555,-0.06815912537724683,0.00891571345643875,1550745077316.1245
Gyroscope,-0.06907400645297065,-0.0722503771636811,-0.0038676324004494147,1550745077326.148
Gyroscope,-0.04308806108676487,-0.06561213495799392,-0.021614320618414194,1550745077336.1716
Gyroscope,-0.0200940413722503,-0.0596671655837794,-0.025500931268065446,1550745077346.1953
Gyroscope,-0.008529431335212773,-0.07711038914057444,-0.014392350424255847,1550745077356.219
Gyroscope,-0.014367910745713048,-0.10511236217212797,-0.002657453674032103,1550745077366.2424
Gyroscope,-0.029516256465539254,-0.10106504489324257,0.004322894933124968,1550745077376.266
Gyroscope,-0.03721460434790395,-0.06292046994292189,0.015769516320623504,1550745077386.2898
Gyroscope,-0.034185615801453746,-0.04108316063988967,0.033028458594519625,1550745077396.3132
Gyroscope,-0.03381229974746548,-0.06143663050541298,-0.014392350424255847,1550745077406.337
Gyroscope,-0.044099072723954164,-0.09272820680923317,0.02704157522333868,1550745077416.3606
Gyroscope,-0.05714583742951167,-0.0990773060278617,0.002288542369948782,1550745077426.384
Gyroscope,-0.06539471847351236,-0.08304809203530339,-0.015052409779402445,1550745077436.4077
Gyroscope,-0.07177662954813173,-0.09071893790256348,-0.01948971155592883,1550745077446.4314
Gyroscope,-0.0752114125713932,-0.1621237856495986,-0.025748681886415287,1550745077456.4548
Gyroscope,-0.06400814283689038,-0.0990773060278617,-0.0488463078994928,1550745077466.4785
Gyroscope,-0.037809427212377476,-0.19075808714239345,-0.07602512769932321,1550745077476.5022
Gyroscope,-0.020474577874658256,-0.09422030251409365,-0.07690459863149965,1550745077486.5256
Gyroscope,-0.03134576005025273,-0.12899190849026776,-0.050092778152788814,1550745077496.5493
Gyroscope,-0.053587777932714374,-0.27691142331218954,-0.030860057180118267,1550745077506.573
Gyroscope,-0.05366410948245938,-0.33178174146471895,-0.04044165048485435,1550745077516.5967
Gyroscope,-0.02764043285145939,-0.2510161716479191,-0.06067096514578166,1550745077526.62
Gyroscope,-0.003294021754899278,-0.15401468497598247,-0.06598644461268342,1550745077536.6438
Gyroscope,0.005301641627886404,-0.0713449188038608,-0.049493120619525995,1550745077546.6675
Gyroscope,0.01589503074306157,0.011813964375749544,-0.01766000391797113,1550745077556.691
Gyroscope,0.04130669840320492,0.059505919645347724,0.017736430441730573,1550745077566.7146
Gyroscope,0.07022577350653439,0.08182446703858064,0.04361886392125246,1550745077576.7383
Gyroscope,0.09717667192181578,0.10996870323429232,-0.02077070836287158,1550745077586.7617
Gyroscope,0.12823138488766422,0.11338847937481014,0.03283860044641232,1550745077596.7854
Gyroscope,0.15137744409042708,0.09195099260301054,0.003240608069597118,1550745077606.809
Gyroscope,0.1495244541642203,0.0843693233398076,-0.01741055484326288,1550745077616.8325
Gyroscope,0.13482977385183878,0.064275145297754,-0.02077070836287158,1550745077626.8562
Gyroscope,0.12742524248994883,0.01040193512039858,-0.020705525511888107,1550745077636.88
