Unnamed: 0.1,Unnamed: 0,tusId,sensorName,valueX,valueY,valueZ,timestamp
1960,1960,346,Gyroscope,-0.11345357161177305,0.18686123963133988,-0.2392671419207491,1568181620750
1962,1962,346,Gyroscope,-0.08433144088785889,0.2627851003487245,-0.348070402264893,1568181620752
1964,1964,346,Gyroscope,-0.06129307845101245,0.32148631580648424,-0.4322406466746449,1568181620754
1965,1965,346,Gyroscope,-0.039884621826221225,0.36280205593516396,-0.4986803263366514,1568181620756
1968,1968,346,Gyroscope,-0.01474966005862145,0.3964572336369721,-0.5665209032920304,1568181620758
1970,1970,346,Gyroscope,0.009838722229284703,0.42547015831235535,-0.6346747196344944,1568181620761
1971,1971,346,Gyroscope,0.02797193367594227,0.4460600746798197,-0.6899606776713884,1568181620763
1974,1974,346,Gyroscope,0.04250813479049144,0.45777961645119103,-0.7325934750130539,1568181620764
1976,1976,346,Gyroscope,0.059936838720814165,0.46414655619092193,-0.7730392481767335,1568181620766
1978,1978,346,Gyroscope,0.08062084932884755,0.46718056494844995,-0.8130822389237757,1568181620768
1980,1980,346,Gyroscope,0.10047779668480286,0.4680518007057306,-0.8462402303417833,1568181620770
1982,1982,346,Gyroscope,0.11841150949607021,0.4698314056125569,-0.8714967448561162,1568181620773
1984,1984,346,Gyroscope,0.1361476134392375,0.4740780233460055,-0.8936244862530882,1568181620774
1986,1986,346,Gyroscope,0.15365211690416009,0.4769826362244872,-0.9127619776322689,1568181620776
1988,1988,346,Gyroscope,0.16922205824491593,0.4747653447459873,-0.924957286865121,1568181620778
1989,1989,346,Gyroscope,0.18081187515544767,0.47152904178288446,-0.9312053409181532,1568181620780
1992,1992,346,Gyroscope,0.18573755823131322,0.47469263865506506,-0.9363023992462567,1568181620782
1994,1994,346,Gyroscope,0.18314482922211744,0.48409035363998776,-0.9404437186681194,1568181620784
1996,1996,346,Gyroscope,0.17550895840790715,0.49490403740100675,-0.9396433882823146,1568181620786
1997,1997,346,Gyroscope,0.1647907469783525,0.5098105138175664,-0.9332621859854219,1568181620788
2000,2000,346,Gyroscope,0.15046306237812176,0.5369179491540267,-0.9249714963465181,1568181620790
2002,2002,346,Gyroscope,0.13199577290231096,0.5767353007997565,-0.9157976873763971,1568181620792
2003,2003,346,Gyroscope,0.10946807644019804,0.620989844798487,-0.9015704766653756,1568181620794
2005,2005,346,Gyroscope,0.08252185617337465,0.6615362559404647,-0.8802726376608321,1568181620797
2007,2007,346,Gyroscope,0.05116400746226725,0.6941689140566335,-0.8567026401958813,1568181620799
2009,2009,346,Gyroscope,0.016914107386565846,0.7200772264844431,-0.8338445498895228,1568181620801
2012,2012,346,Gyroscope,-0.017465876883661927,0.7470967728491458,-0.8045018264746291,1568181620802
2014,2014,346,Gyroscope,-0.04997396015505248,0.7810214258777312,-0.760985495092289,1568181620804
2016,2016,346,Gyroscope,-0.0814371461457453,0.8151411804409736,-0.7092014881757147,1568181620807
2018,2018,346,Gyroscope,-0.11387636218309276,0.8387494219883864,-0.6597098423109377,1568181620808
2020,2020,346,Gyroscope,-0.1465167234471565,0.8535583917239342,-0.6090536971043783,1568181620810
2022,2022,346,Gyroscope,-0.1760222556980617,0.8677852227916121,-0.5484205103938861,1568181620812
2024,2024,346,Gyroscope,-0.20212228366864923,0.8774325423853002,-0.4852513236623146,1568181620815
2026,2026,346,Gyroscope,-0.2301784391144587,0.8702937346658961,-0.4344403214364764,1568181620816
2027,2027,346,Gyroscope,-0.26447471977428294,0.8463953349174409,-0.3942164210176208,1568181620818
2030,2030,346,Gyroscope,-0.3012578514496566,0.8188417730493045,-0.35123432619062844,1568181620821
2031,2031,346,Gyroscope,-0.3335104260461399,0.7947399624111795,-0.30380234262840256,1568181620822
2034,2034,346,Gyroscope,-0.36088841112290637,0.7666211244100279,-0.26263901226609077,1568181620824
2036,2036,346,Gyroscope,-0.3889608057444151,0.7255655666837157,-0.2326387912755749,1568181620826
2038,2038,346,Gyroscope,-0.4191097520150988,0.6764676326410357,-0.20867422239551742,1568181620828
2039,2039,346,Gyroscope,-0.4459285917818158,0.6321840405523631,-0.18672607026363955,1568181620830
2042,2042,346,Gyroscope,-0.4657702817389493,0.5946047773884877,-0.1670978534775001,1568181620832
2043,2043,346,Gyroscope,-0.4813857249272062,0.5538080379047158,-0.14991285474056001,1568181620834
2046,2046,346,Gyroscope,-0.4963790538551861,0.5056104349438014,-0.13552547455228786,1568181620836
2047,2047,346,Gyroscope,-0.50976694547389,0.4567136810274286,-0.12437260781685308,1568181620838
2049,2049,346,Gyroscope,-0.5170485819159624,0.4124979109714432,-0.11267557126395066,1568181620840
2052,2052,346,Gyroscope,-0.5150180957937543,0.3710075818444618,-0.09488411748166713,1568181620842
2054,2054,346,Gyroscope,-0.5054531295119099,0.3294052361748749,-0.07155767733766263,1568181620845
2056,2056,346,Gyroscope,-0.4923809179914246,0.2865500544526906,-0.04764702553506507,1568181620846
2058,2058,346,Gyroscope,-0.47595537654782016,0.2384228176427808,-0.02342508044626826,1568181620848
2060,2060,346,Gyroscope,-0.45406796576248853,0.18206436556281638,0.00436307451409872,1568181620850
2062,2062,346,Gyroscope,-0.42907371286951235,0.12470067912787591,0.03369525080580467,1568181620852
2064,2064,346,Gyroscope,-0.40490096888690985,0.0762499922742261,0.05946522330691579,1568181620854
2066,2066,346,Gyroscope,-0.3778959641838998,0.033234024245927585,0.08298026593461447,1568181620856
2068,2068,346,Gyroscope,-0.3403791834028669,-0.01615820588244707,0.10981974587888267,1568181620859
2070,2070,346,Gyroscope,-0.2937942595305656,-0.0722547477240935,0.13965644063320623,1568181620860
2072,2072,346,Gyroscope,-0.2464629694484714,-0.12465359043244259,0.16702058424430005,1568181620862
2074,2074,346,Gyroscope,-0.19871790490476782,-0.17172126078481337,0.19105018108939636,1568181620864
2075,2075,346,Gyroscope,-0.1451719740811639,-0.22075323804991098,0.21532276665868702,1568181620866
2077,2077,346,Gyroscope,-0.08776592282691781,-0.26961013629861685,0.2393332453967556,1568181620869
2079,2079,346,Gyroscope,-0.030545847631192127,-0.30959793445399697,0.2595463753492516,1568181620870
2081,2081,346,Gyroscope,0.029253306640454575,-0.34550620577972224,0.2763189259060989,1568181620873
2083,2083,346,Gyroscope,0.09149621805196594,-0.3875921015279335,0.2917744559654075,1568181620874
2086,2086,346,Gyroscope,0.14794902545415115,-0.422285202643628,0.3049289957722492,1568181620876
2088,2088,346,Gyroscope,0.1975771025053291,-0.42916546488284885,0.3146027633252571,1568181620879
2090,2090,346,Gyroscope,0.2540138339133218,-0.4401524509497795,0.3230041440296638,1568181620880
2091,2091,346,Gyroscope,0.32478760101295845,-0.5077842113658373,0.33212824353045156,1568181620882
2094,2094,346,Gyroscope,0.3896227297500887,-0.5607593221230583,0.33730701672376384,1568181620885
2096,2096,346,Gyroscope,0.4161775460742585,-0.4006824436873169,0.32513730747358266,1568181620886
2098,2098,346,Gyroscope,0.39817608799623233,0.05367100726131992,0.2790007701741616,1568181620888
2099,2099,346,Gyroscope,0.3610479408585551,0.6368173658024788,0.19169926871689127,1568181620890
2102,2102,346,Gyroscope,0.3297755720779187,1.1437600137839516,0.07845953980028143,1568181620893
2104,2104,346,Gyroscope,0.3109730805872367,1.5168739961146969,-0.02576953598822005,1568181620894
2106,2106,346,Gyroscope,0.3054586832890205,1.7625005895301875,-0.09280087706587882,1568181620896
2108,2108,346,Gyroscope,0.31698918012599914,1.8584877927619128,-0.12635195952871325,1568181620898
2109,2109,346,Gyroscope,0.3469680762212647,1.8112955393032328,-0.15425275332523458,1568181620901
2111,2111,346,Gyroscope,0.392607692350573,1.6889025210906459,-0.19949124557745834,1568181620902
2114,2114,346,Gyroscope,0.44797235130288937,1.5644709929677627,-0.26491294602564436,1568181620905
2115,2115,346,Gyroscope,0.5034062154623927,1.4730562382988763,-0.34014266968912404,1568181620907
2118,2118,346,Gyroscope,0.5506906774300449,1.4126959353897206,-0.4162957400702285,1568181620908
2120,2120,346,Gyroscope,0.5899543333072663,1.3633788027405866,-0.49317487288217254,1568181620910
2122,2122,346,Gyroscope,0.6275608848633154,1.3063666324081553,-0.5724293039100898,1568181620913
