epoch,loss
1,3.34107843775246
2,1.2638956913396941
3,0.8974862318092854
4,0.7969390694519982
5,0.7010886165215142
6,0.6081029305505992
7,0.5642993036826053
8,0.572936218812238
9,0.5729849039759468
10,0.5188016827082514
11,0.5063047644181468
12,0.4692129892245609
13,0.4616865622038817
14,0.4192067316204459
15,0.4463285183037945
16,0.4708939308497175
17,0.4353224650474649
18,0.3776244018694863
19,0.3730727806687355
20,0.4024819610406406
21,0.3805256274402441
22,0.38522750727046073
23,0.401853167044757
24,0.3574580799544876
25,0.36364183076961554
26,0.39982577982410117
27,0.3542282490724295
28,0.3396963425467362
29,0.3188835022662153
30,0.3055895928986109
31,0.3125450805428639
32,0.3351976095731534
33,0.3383142450571659
34,0.3503479878956349
35,0.37712960488083375
36,0.3299060129190809
37,0.30576221214317195
38,0.3185969338420048
39,0.3178383471004328
40,0.3651123313822938
41,0.31063008188602315
42,0.3146497072586462
43,0.3105043848630172
44,0.29154234929899475
45,0.30029894830893034
46,0.28958038424127663
47,0.33033854795161205
48,0.26231437584563116
49,0.2834983208970209
50,0.3182537990935783
51,0.29759971827418363
52,0.2978853673192125
53,0.28921088587548865
54,0.2815356491199091
55,0.26959020011688595
56,0.25709428436043275
57,0.30453392758441333
58,0.2674225007731411
59,0.2639162975676994
60,0.2545245848408896
61,0.25107524532768594
62,0.28036856170200825
63,0.27382596069244886
64,0.26839029817051024
65,0.27325264759474066
66,0.2334136626491295
67,0.2632701419219
68,0.25118860008953203
69,0.2719989040464013
70,0.2857378741267638
71,0.24308898603197318
72,0.28187821784885086
73,0.2626015635478736
74,0.2487379443930022
75,0.2465654672614893
76,0.24341248842564658
77,0.27089249664664866
78,0.26358787077081264
79,0.3063872245014013
80,0.3322666154322612
81,0.2716285570445073
82,0.24825941941621316
83,0.3029637030096509
84,0.2772405828213572
85,0.25212838601826426
86,0.2402294483129403
87,0.21436702626659043
88,0.2393806024112893
89,0.26796320254853623
90,0.2444804538621675
91,0.2323839975024887
92,0.22860773400071277
93,0.21521376286769034
94,0.2699347331782981
95,0.22170916521669032
96,0.21444216331270471
97,0.22017417797566058
98,0.24819573840528877
99,0.23930645919400245
100,0.2314274111135521
